"lambda"	"maxfitness"	"alpha"	"Q"	"theta"
"1"	0.0491842200048268	0.906212835535743	0.5	2	0.315154748488847
"2"	0.263519055574181	1.6366505642509	0.5	2	1.18348419003262
"3"	0.322083945555573	0.0697675278557865	0.5	2	3.06320499272622
"4"	0.355041295645719	2.10711866639315	0.5	2	1.26147480468906
"5"	0.307562638429885	2.79324506574407	0.5	2	2.74930230388783
"6"	0.126072550658137	1.95320613720571	0.5	2	1.11643544408608
"7"	0.794336653831315	2.26681439400951	0.5	2	1.27671340789519
"8"	0.138462373707443	3.34624532963618	0.5	2	1.58216215574729
"9"	0.23934984075928	0.338952335037353	0.5	2	2.22642845588758
"10"	0.129882540274411	0.528882720629963	0.5	2	0.163076699450535
"11"	0.184841280858577	0.185324619851441	0.5	2	0.326502550633213
"12"	0.239126246227863	1.11937637243592	0.5	2	2.69934243725885
"13"	0.201962738103213	0.35774003921622	0.5	2	0.18122896953116
"14"	0.152715166004971	1.74340976530529	0.5	2	0.536864867353793
"15"	0.206317880741301	0.0892025105651447	0.5	2	2.61924074550186
"16"	0.159249216123464	1.97007468982959	0.5	2	0.504307485059567
"17"	0.407992652414327	0.690265193941065	0.5	2	1.7964138420643
"18"	0.0515269690193236	5.51417799928635	0.5	2	0.742980520875234
"19"	0.0190728500884663	2.99286587874611	0.5	2	1.04910327239087
"20"	0.0247030491183765	1.18824850149597	0.5	2	1.05068974487382
"21"	0.0108996383980907	1.01298654251234	0.5	2	0.705903001864884
"22"	0.64159424450613	0.763556149177708	0.5	2	2.32719775541338
"23"	0.0393154584802687	0.84935631616075	0.5	2	2.42045312659391
"24"	0.187545535332503	1.73746336912346	0.5	2	0.379704313214457
"25"	0.0191351152956486	0.211590651570579	0.5	2	2.66689416085789
"26"	0.555396586622963	0.275617238333023	0.5	2	2.62098021654067
"27"	0.155128537013546	0.215030836122982	0.5	2	0.182053498687537
"28"	0.0345840809835444	0.570350965823583	0.5	2	2.36746020873474
"29"	0.266107545412126	0.124034075504627	0.5	2	0.643642973421937
"30"	0.0979523428715766	0.117197290765665	0.5	2	2.96427514444952
"31"	0.474517943312354	2.18744692937682	0.5	2	0.339926447849557
"32"	0.134737090859562	0.0981306330732698	0.5	2	3.04858780639888
"33"	0.24128516781235	0.797361568194632	0.5	2	0.406504952677237
"34"	0.0254946983960101	0.674365466136627	0.5	2	2.31392157415571
"35"	0.00500420437819365	1.30603765828564	0.5	2	2.95941512724458
"36"	0.00669418369632601	0.0778653570730019	0.5	2	2.18388449916673
"37"	0.0491904461756349	0.33288527185577	0.5	2	2.17664807028899
"38"	0.238368366674241	7.15739108029084	0.5	2	3.0532273559976
"39"	0.10482087098062	1.61786883711139	0.5	2	0.0450481520934966
"40"	0.114205360604238	0.207606234691079	0.5	2	2.32863635101666
"41"	0.181274059592726	3.23533296895498	0.5	2	0.768406519124404
